,visao,uf_bbagil,faixa_vlr_pago_ju_bbagil,metrica,valor_boxplot,unidade_observacao
344,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
345,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
346,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
347,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
348,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
349,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
350,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,33000.0,contemplado
351,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
352,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
353,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
354,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,18000.0,contemplado
355,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
356,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
357,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,50000.0,contemplado
358,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
359,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,50000.0,contemplado
360,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
361,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
362,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,45000.0,contemplado
363,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
364,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,30000.0,contemplado
365,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,45000.0,contemplado
366,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,15000.0,contemplado
367,ESTADO,AC,De 10 a 50 mil,valor_transacao_total_bbagil,20000.0,contemplado
