,uf,natureza_juridica,quantidade_contemplados,valor_contemplados,total_quantidade_uf,total_valor_uf,perc_quantidade_contemplados_na_uf,perc_valor_contemplados_na_uf,perc_quantidade_contemplados,perc_valor_contemplados
113,RJ,Entidades Empresariais,21,5499637.76,1153,65466436.61,0.01821335646140503,0.08400698197097121,0.01821335646140503,0.08400698197097121
114,RN,Microempresa-ME,183,2770920.01,630,10262299.84,0.2904761904761905,0.27000965214440664,0.2904761904761905,0.27000965214440664
115,RN,MEI,211,2002872.57,630,10262299.84,0.3349206349206349,0.19516800339367205,0.3349206349206349,0.19516800339367205
116,RN,Empresa de Pequeno Porte (EPP),42,647453.16,630,10262299.84,0.06666666666666667,0.06309045439077719,0.06666666666666667,0.06309045439077719
117,RN,Administração Pública,3,67207.5,630,10262299.84,0.004761904761904762,0.006548970605793565,0.004761904761904762,0.006548970605793565
118,RN,Entidades sem fins lucrativos,185,4661199.11,630,10262299.84,0.29365079365079366,0.45420609246201876,0.29365079365079366,0.45420609246201876
119,RN,Entidades Empresariais,6,112647.48999999999,630,10262299.84,0.009523809523809525,0.010976827003331838,0.009523809523809525,0.010976827003331838
120,RS,Microempresa-ME,896,14863651.51,3039,53499102.32,0.2948338269167489,0.2778299235956227,0.2948338269167489,0.2778299235956227
121,RS,MEI,823,11780911.16,3039,53499102.32,0.27081276735768345,0.22020764179431562,0.27081276735768345,0.22020764179431562
122,RS,Empresa de Pequeno Porte (EPP),168,2578202.4,3039,53499102.32,0.055281342546890426,0.048191507673880536,0.055281342546890426,0.048191507673880536
123,RS,Administração Pública,3,30094.91,3039,53499102.32,0.0009871668311944718,0.0005625311209894708,0.0009871668311944718,0.0005625311209894708
124,RS,Entidades sem fins lucrativos,1085,23393529.1,3039,53499102.32,0.35702533728200064,0.4372695631428307,0.35702533728200064,0.4372695631428307
125,RS,Entidades Empresariais,64,852713.24,3039,53499102.32,0.021059559065482066,0.015938832672360997,0.021059559065482066,0.015938832672360997
126,RO,Microempresa-ME,14,163604.27,79,2219730.3899999997,0.17721518987341772,0.07370456823812734,0.17721518987341772,0.07370456823812734
127,RO,MEI,26,424150.06,79,2219730.3899999997,0.3291139240506329,0.191081791694531,0.3291139240506329,0.191081791694531
128,RO,Empresa de Pequeno Porte (EPP),2,10902.32,79,2219730.3899999997,0.02531645569620253,0.004911551442966009,0.02531645569620253,0.004911551442966009
129,RO,Administração Pública,1,65954.54,79,2219730.3899999997,0.012658227848101266,0.029712860758733858,0.012658227848101266,0.029712860758733858
130,RO,Entidades sem fins lucrativos,34,1355799.2,79,2219730.3899999997,0.43037974683544306,0.6107945388809134,0.43037974683544306,0.6107945388809134
131,RO,Entidades Empresariais,2,199320.0,79,2219730.3899999997,0.02531645569620253,0.08979468898472846,0.02531645569620253,0.08979468898472846
132,RR,Microempresa-ME,9,211983.47,41,1700815.52,0.21951219512195122,0.12463636855806678,0.21951219512195122,0.12463636855806678
133,RR,MEI,12,158196.51,41,1700815.52,0.2926829268292683,0.09301215101800106,0.2926829268292683,0.09301215101800106
134,RR,Empresa de Pequeno Porte (EPP),0,0.0,41,1700815.52,0.0,0.0,0.0,0.0
135,RR,Administração Pública,1,20000.0,41,1700815.52,0.024390243902439025,0.0117590648514308,0.024390243902439025,0.0117590648514308
136,RR,Entidades sem fins lucrativos,18,1130916.03,41,1700815.52,0.43902439024390244,0.664925746914633,0.43902439024390244,0.664925746914633
137,RR,Entidades Empresariais,1,179719.51,41,1700815.52,0.024390243902439025,0.10566666865786832,0.024390243902439025,0.10566666865786832
138,SC,Microempresa-ME,497,6116730.8,1752,28546006.400000002,0.283675799086758,0.21427623585203145,0.283675799086758,0.21427623585203145
139,SC,MEI,425,6286482.23,1752,28546006.400000002,0.2425799086757991,0.22022282703614893,0.2425799086757991,0.22022282703614893
140,SC,Empresa de Pequeno Porte (EPP),153,1808697.82,1752,28546006.400000002,0.08732876712328767,0.06336080061973222,0.08732876712328767,0.06336080061973222
141,SC,Administração Pública,15,1055772.45,1752,28546006.400000002,0.008561643835616438,0.0369849440655909,0.008561643835616438,0.0369849440655909
142,SC,Entidades sem fins lucrativos,556,12204967.97,1752,28546006.400000002,0.317351598173516,0.4275543065106298,0.317351598173516,0.4275543065106298
143,SC,Entidades Empresariais,106,1073355.13,1752,28546006.400000002,0.06050228310502283,0.03760088591586667,0.06050228310502283,0.03760088591586667
144,SP,Microempresa-ME,1438,30048428.9,4367,146529012.38,0.3292878406228532,0.205068118674506,0.3292878406228532,0.205068118674506
145,SP,MEI,1663,27554459.36,4367,146529012.38,0.38081062514311886,0.18804780645447766,0.38081062514311886,0.18804780645447766
146,SP,Empresa de Pequeno Porte (EPP),189,5474064.21,4367,146529012.38,0.043279138997023126,0.037358227705813464,0.043279138997023126,0.037358227705813464
147,SP,Administração Pública,14,211783.62,4367,146529012.38,0.003205862147927639,0.0014453357499658321,0.003205862147927639,0.0014453357499658321
148,SP,Entidades sem fins lucrativos,964,77271954.22,4367,146529012.38,0.2207465079001603,0.5273491779198465,0.2207465079001603,0.5273491779198465
149,SP,Entidades Empresariais,99,5968322.07,4367,146529012.38,0.022670025188916875,0.04073133349539062,0.022670025188916875,0.04073133349539062
150,SE,Microempresa-ME,71,1436381.1199999999,252,5294848.87,0.28174603174603174,0.27127896475730756,0.28174603174603174,0.27127896475730756
151,SE,MEI,60,726157.8200000001,252,5294848.87,0.23809523809523808,0.13714420143591372,0.23809523809523808,0.13714420143591372
152,SE,Empresa de Pequeno Porte (EPP),10,169579.49,252,5294848.87,0.03968253968253968,0.03202725784314973,0.03968253968253968,0.03202725784314973
153,SE,Administração Pública,0,0.0,252,5294848.87,0.0,0.0,0.0,0.0
154,SE,Entidades sem fins lucrativos,106,2923467.96,252,5294848.87,0.42063492063492064,0.5521343539310499,0.42063492063492064,0.5521343539310499
155,SE,Entidades Empresariais,5,39262.48,252,5294848.87,0.01984126984126984,0.007415222032578997,0.01984126984126984,0.007415222032578997
156,TO,Microempresa-ME,87,1594007.84,221,3831933.15,0.3936651583710407,0.41598007522652114,0.3936651583710407,0.41598007522652114
157,TO,MEI,40,580094.1,221,3831933.15,0.18099547511312217,0.15138419103162068,0.18099547511312217,0.15138419103162068
158,TO,Empresa de Pequeno Porte (EPP),13,361081.57,221,3831933.15,0.058823529411764705,0.09422961097324989,0.058823529411764705,0.09422961097324989
159,TO,Administração Pública,0,0.0,221,3831933.15,0.0,0.0,0.0,0.0
160,TO,Entidades sem fins lucrativos,79,1286593.64,221,3831933.15,0.3574660633484163,0.3357557633801623,0.3574660633484163,0.3357557633801623
161,TO,Entidades Empresariais,2,10156.0,221,3831933.15,0.00904977375565611,0.002650359388446012,0.00904977375565611,0.002650359388446012
