,cbo_descricao_rais,soma_quantidade,percentual_quantidade,soma_valor,percentual_valor
238,DIRETOR ADMINISTRATIVO E FINANCEIRO,33,0.0005483549351944167,381966.80000000005,0.0006284292538477727
239,BOMBEIRO CIVIL,23,0.00038218677301429045,376673.78,0.0006197209351949438
240,ATENDENTE DE AGENCIA,34,0.0005649717514124294,376094.08,0.0006187671862344175
241,ACOUGUEIRO,75,0.0012462612163509472,374936.75,0.0006168630939720648
242,PSICOLOGO EDUCACIONAL,28,0.0004652708541043536,372698.65,0.0006131808694618804
243,MEDICO VETERINARIO,28,0.0004652708541043536,367343.64,0.0006043705620250891
244,AUXILIAR DE CARTORIO,43,0.000714523097374543,363576.98,0.0005981734806732588
245,CARREGADOR (VEICULOS DE TRANSPORTES TERRESTRES),46,0.0007643735460285809,363225.76,0.0005975956374613975
246,Não Informada,36,0.0005982053838484546,362307.38,0.0005960846766706986
247,SUPERVISOR DE TELEMARKETING E ATENDIMENTO,23,0.00038218677301429045,361835.6,0.0005953084826313729
248,PINTOR DE OBRAS,69,0.0011465603190428714,350881.7,0.0005772866252245954
249,FISCAL DE LOJA,51,0.000847457627118644,350065.76,0.0005759442034083943
250,DIRETOR DE SERVICOS SOCIAIS,24,0.00039880358923230307,344375.73,0.0005665827057408706
251,REPORTER DE RADIO E TELEVISAO,19,0.00031571950814223993,343897.36,0.000565795669532061
252,MUSICOLOGO,23,0.00038218677301429045,341598.5,0.0005620134798901851
253,CONSELHEIRO TUTELAR,51,0.000847457627118644,332027.76,0.0005462672605931911
254,OPERADOR DE MAQUINAS DE CONSTRUCAO CIVIL E MINERACAO,23,0.00038218677301429045,330705.33999999997,0.0005440915547101841
255,DIRETOR GERAL DE EMPRESA E ORGANIZACOES (EXCETO DE INTERESSE PUBLICO),24,0.00039880358923230307,329753.79000000004,0.0005425260211180006
256,MUSICOTERAPEUTA,15,0.0002492522432701894,326271.22,0.0005367963376309209
257,GERENTE DE LOGISTICA (ARMAZENAGEM E DISTRIBUICAO),22,0.00036556995679627784,325065.85,0.0005348132077628002
258,TECNOLOGO EM SECRETARIADO ESCOLAR,51,0.000847457627118644,323510.04,0.0005322535179745022
259,ELETRICISTA DE MANUTENCAO ELETROELETRONICA,45,0.0007477567298105683,322989.27,0.0005313967233459472
260,BARMAN,29,0.00048188767032236626,322331.66000000003,0.0005303147932891392
261,EDITOR DE TEXTO E IMAGEM,20,0.00033233632436025255,316786.9,0.0005211923004715304
262,TELEFONISTA,41,0.0006812894649385178,313143.68,0.0005151983082549207
263,JARDINEIRO,50,0.0008308408109006315,309478.96,0.000509168943254714
264,MONTADOR DE ESTRUTURAS METALICAS,35,0.000581588567630442,308885.07,0.0005081918482570134
265,ATLETA PROFISSIONAL DE LUTA,22,0.00036556995679627784,308611.54,0.0005077418241873692
266,AUXILIAR DE FARMACIA DE MANIPULACAO,13,0.00021601861083416418,307730.7,0.0005062926259220768
267,REPORTER (EXCLUSIVE RADIO E TELEVISAO),15,0.0002492522432701894,306965.46,0.0005050336180653352
